epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9988,2.71724,4.89127,1.77496,0.00119,0.22388,0.00302,0.0019,2.79448,5.70876,1.91626,4e-05,4e-05,4e-05
2,79.074,2.67112,4.90595,1.72801,0.00175,0.32836,0.00159,0.00067,2.68826,5.95143,1.80005,9.505e-05,9.505e-05,9.505e-05
3,104.807,2.11014,4.27371,1.53083,0.00262,0.49254,0.00497,0.0025,2.57304,6.03791,1.78186,0.00014416,0.00014416,0.00014416
4,127.715,2.29675,4.26189,1.4914,0.00286,0.53731,0.00671,0.00299,2.5366,6.12144,1.55724,0.00018733,0.00018733,0.00018733
5,151.081,2.01443,4.20685,1.38829,0.00262,0.49254,0.00754,0.00366,2.4496,6.47764,1.55576,0.00022456,0.00022456,0.00022456
6,174.175,2.25518,4.06424,1.39666,0.00238,0.44776,0.00628,0.00335,2.47556,6.54921,1.62246,0.00025585,0.00025585,0.00025585
7,198.372,1.95599,3.74599,1.30089,0.00286,0.53731,0.005,0.00274,2.5629,5.64594,1.79256,0.0002812,0.0002812,0.0002812
8,219.528,1.88055,3.6976,1.30002,0.00286,0.53731,0.00708,0.00433,2.48296,5.55306,1.73233,0.00030061,0.00030061,0.00030061
9,240.998,1.87005,3.34327,1.31978,0.00286,0.53731,0.01042,0.00659,2.35349,5.26614,1.55054,0.00031408,0.00031408,0.00031408
10,517.854,1.9007,3.59859,1.30135,0.00302,0.56716,0.01021,0.00645,2.32532,5.16258,1.55152,0.00032161,0.00032161,0.00032161
11,547.561,2.0861,4.59887,1.34269,0.00317,0.59701,0.01079,0.00675,2.16745,5.16772,1.55519,0.0003232,0.0003232,0.0003232
12,577.67,2.03335,4.51797,1.35447,0.00333,0.62687,0.01112,0.00671,2.13518,5.12116,1.58161,0.00031885,0.00031885,0.00031885
13,601.117,1.96385,4.49226,1.31678,0.00325,0.61194,0.01389,0.00762,2.16483,5.10877,1.53517,0.00030856,0.00030856,0.00030856
14,624.462,1.91698,4.52592,1.27967,0.00333,0.62687,0.00955,0.00472,2.12704,5.16244,1.49405,0.00029233,0.00029233,0.00029233
15,648.105,1.90813,4.13818,1.29436,0.00341,0.64179,0.00639,0.00297,2.12204,5.34237,1.37521,0.00027016,0.00027016,0.00027016
16,672.78,1.94971,4.16997,1.35887,0.00333,0.62687,0.00625,0.00315,2.16615,5.25111,1.40122,0.00024205,0.00024205,0.00024205
17,694.929,1.93547,3.96796,1.38639,0.00349,0.65672,0.01181,0.00541,1.93743,4.97275,1.31266,0.000208,0.000208,0.000208
18,855.323,1.95211,4.46567,1.2836,0.00349,0.65672,0.0148,0.00746,1.80738,4.90726,1.2515,0.00016801,0.00016801,0.00016801
19,896.295,1.86901,4.26733,1.27448,0.00365,0.68657,0.02589,0.01578,1.71988,4.74958,1.2226,0.00012208,0.00012208,0.00012208
20,922.642,1.88959,5.5411,1.24851,0.00357,0.67164,0.02605,0.01613,1.69105,4.62134,1.2063,7.021e-05,7.021e-05,7.021e-05
